Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,0.448841,0.487613,0.443896,0.479991,0.479991,2730255979
2023-03-28,0.480074,0.529756,0.470201,0.515058,0.515058,3163217119
2023-03-29,0.515005,0.580400,0.514962,0.543577,0.543577,4092945977
2023-03-30,0.543669,0.554223,0.527192,0.534249,0.534249,2694676898
2023-03-31,0.534316,0.546923,0.528558,0.538492,0.538492,1934253477
2023-04-01,0.538472,0.538472,0.501539,0.514741,0.514741,1829835076
2023-04-02,0.509961,0.528495,0.503521,0.518953,0.518953,1488648839
2023-04-03,0.518933,0.523167,0.486949,0.496960,0.496960,1655872706
2023-04-04,0.496890,0.507641,0.488974,0.503479,0.503479,1230443035
2023-04-05,0.503483,0.525639,0.500064,0.506235,0.506235,1402532299
2023-04-06,0.506257,0.509013,0.494525,0.503298,0.503298,1077113140
2023-04-07,0.503306,0.514165,0.499108,0.513736,0.513736,1060408546
2023-04-08,0.513730,0.513730,0.504441,0.505716,0.505716,587641054
2023-04-09,0.505694,0.509143,0.500927,0.505834,0.505834,550582813
2023-04-10,0.505793,0.519673,0.501259,0.518318,0.518318,914389505
2023-04-11,0.518308,0.526306,0.513294,0.517518,0.517518,1206362804
2023-04-12,0.517566,0.517996,0.501415,0.506115,0.506115,1063340695
2023-04-13,0.505182,0.514772,0.502591,0.513292,0.513292,963105081
2023-04-14,0.513335,0.543841,0.512477,0.523993,0.523993,1597156518
2023-04-15,0.523973,0.525805,0.518277,0.520444,0.520444,670556486
2023-04-16,0.520430,0.524254,0.517239,0.521392,0.521392,631212313
2023-04-17,0.521361,0.521361,0.508276,0.511127,0.511127,1021376248
2023-04-18,0.511136,0.535962,0.510617,0.532264,0.532264,1169237634
2023-04-19,0.532247,0.534383,0.489258,0.491599,0.491599,2047949057
2023-04-20,0.491520,0.498827,0.468671,0.474858,0.474858,1484251970
2023-04-21,0.474874,0.478770,0.442739,0.449396,0.449396,1412575276
2023-04-22,0.449401,0.474535,0.446767,0.472661,0.472661,948350839
2023-04-23,0.472660,0.472660,0.455864,0.465016,0.465016,745785219
2023-04-24,0.465017,0.482533,0.451036,0.461273,0.461273,1287683583
2023-04-25,0.461265,0.471495,0.452048,0.469995,0.469995,1120038773
2023-04-26,0.469988,0.482482,0.441331,0.462037,0.462037,1585410692
2023-04-27,0.462053,0.469281,0.457390,0.466868,0.466868,1631460643
2023-04-28,0.466885,0.481096,0.464622,0.480271,0.480271,1145414603
2023-04-29,0.480237,0.485061,0.475726,0.478409,0.478409,611537970
2023-04-30,0.478377,0.481816,0.470954,0.472332,0.472332,556459700
2023-05-01,0.472205,0.472579,0.457182,0.464966,0.464966,941003865
2023-05-02,0.464976,0.465829,0.459436,0.464951,0.464951,903846077
2023-05-03,0.464959,0.465259,0.451436,0.463494,0.463494,1049175706
2023-05-04,0.463488,0.464974,0.456019,0.461573,0.461573,752455291
2023-05-05,0.461564,0.469783,0.458258,0.467800,0.467800,857113580
2023-05-06,0.467821,0.469081,0.454764,0.459549,0.459549,592275764
2023-05-07,0.459499,0.461039,0.450249,0.450364,0.450364,440082859
2023-05-08,0.450346,0.451737,0.418553,0.428915,0.428915,1307982057
2023-05-09,0.428889,0.430158,0.421905,0.429888,0.429888,911350658
2023-05-10,0.429805,0.433696,0.417825,0.430873,0.430873,1068763583
2023-05-11,0.430886,0.430886,0.412962,0.421879,0.421879,906511894
2023-05-12,0.421803,0.439969,0.417720,0.430718,0.430718,1174284548
2023-05-13,0.430720,0.430945,0.424714,0.424903,0.424903,389293055
2023-05-14,0.424872,0.431337,0.423152,0.425860,0.425860,369801280
2023-05-15,0.425861,0.430293,0.422828,0.427562,0.427562,749923785
2023-05-16,0.427600,0.441434,0.420207,0.441422,0.441422,963282009
2023-05-17,0.441409,0.459591,0.438881,0.448589,0.448589,1518727788
2023-05-18,0.448567,0.471252,0.443833,0.460299,0.460299,1356400752
2023-05-19,0.460277,0.473800,0.458530,0.467982,0.467982,1083307614
2023-05-20,0.467992,0.470808,0.463529,0.469081,0.469081,479336096
2023-05-21,0.469075,0.470622,0.456592,0.457550,0.457550,537234089
2023-05-22,0.457575,0.466325,0.452150,0.461601,0.461601,904918280
2023-05-23,0.461609,0.466837,0.459444,0.465430,0.465430,829964870
2023-05-24,0.465441,0.465441,0.447464,0.453609,0.453609,1029450864
2023-05-25,0.453586,0.454629,0.445622,0.453734,0.453734,697466810
